"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.59796503645272227,3010136.874299242220557
"ARG",2001,5979.94749753340815306,2294873.016127123722049
"AUS",2001,0.07592236710015192,137.3091412258484
"BDI",2001,6.22292964949001766,3315.52413634245294
"BES",2001,0.1469319746592882,63.87431752733426
"BGD",2001,384.77334921171979365,219898.26372035072085
"BHS",2001,0.28678775083984374,49.98059827986376
"BLZ",2001,1271.34564506978522872,609088.763067122086698
"BOL",2001,36529.52787798359476311,20545227.734609725378290
"BRA",2001,465542.98364393913647637,297264444.5923015677986895
"BRN",2001,256.08653660094799884,193909.635942613843013
"BTN",2001,69.41099623881294281,45337.246308159066849
"CAF",2001,3939.63629390937059052,2681659.235970982931494
"CHN",2001,867.20313471069956999,471279.889682625147497
"CIV",2001,14045.21730711848296660,6173864.210569404340474
"CMR",2001,8286.75606657634058166,5202101.432941948384950
"COD",2001,92019.98712526894991308,62623440.917647414110333
"COG",2001,7398.98975925831500259,4633561.901862657665540
"COL",2001,24081.67027605066043164,15113255.537621139306434
"CRI",2001,522.07243540316895280,304963.311503480779843
"CUB",2001,475.24672877172124682,174984.7956752553790996
"CYM",2001,2.24888464985785635,736.27588203012181
"DMA",2001,5.04974570282118109,3104.30555816977115
"DOM",2001,235.77704186081703455,105307.04364013503914
"ECU",2001,4701.19220068923121123,3197337.638659410203805
"ETH",2001,1399.27059449023207420,919174.42313239196246
"FJI",2001,12.56193164559895879,6979.923300429293415
"GAB",2001,5117.83666954909742883,3220756.957733131110049
"GHA",2001,1699.57326382970035787,798498.783792680011991
"GIN",2001,287.97542793233335684,145188.77491496340298
"GLP",2001,3.10645859979980493,1707.59088631685443
"GNB",2001,8.52683887830675030,2348.346809457674127
"GNQ",2001,603.18416413092922259,380923.868209570562125
"GTM",2001,3978.86653208111710701,2110581.024008689447852
"GUF",2001,901.77611951122814339,728833.530810723917293
"GUY",2001,1834.78657925390577362,1263165.886703709628338
"HND",2001,4747.46372050828402208,2654030.715186161178272
"HTI",2001,9.89033936289062572,4980.339843142967176
"IDN",2001,114393.78862800686971214,109423726.1081379570201805
"IND",2001,5541.94205918916109858,3309328.936374877819100
"JAM",2001,89.57468488645833638,51465.93972089175492
"KEN",2001,2390.69343360198896552,1378907.952852492510286
"KHM",2001,8908.21938988077685072,5137437.168684629753186
"KNA",2001,1.98641194428059914,1030.40097724299050
"LAO",2001,10263.04417050625305953,6019405.618589429891074
"LBR",2001,2080.51122607954582132,1063015.893826287018761
"LCA",2001,1.0463229646446397,634.37470836223678
"LKA",2001,115.75726964476183421,48132.60035701466542
"MAF",2001,0.4393774783344184,179.97062979078558
"MDG",2001,21193.78309873169585977,11507892.312540160736457
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8045.03618630628365524,4041906.350816892965317
"MMR",2001,9308.13783060656102709,5393443.8515486787618804
"MOZ",2001,47.94843722824817318,24038.401008849141981
"MSR",2001,0.44252670263237849,255.24184463096019
"MTQ",2001,1.5642030455957033,864.38734643741245
"MWI",2001,2.5299241233865017,1398.2306533419338
"MYS",2001,24068.03917452008573085,19542444.518878998502575
"NGA",2001,3494.91524358786921505,1373019.305312293123049
"NIC",2001,1853.38217201431307696,1077841.586618687648907
"NPL",2001,59.36401164300781380,36238.073241084051865
"PAN",2001,1186.93557742903153215,740647.068138259005031
"PER",2001,28698.56957434499451281,19332895.472571771786435
"PHL",2001,1655.13987553336497070,1095508.036466137823967
"PLW",2001,7.32442884702067127,5925.166010316397037
"PNG",2001,10238.09836848999850183,8601368.185096319775766
"PRI",2001,29.02792696137044776,17132.30739487476618
"PRY",2001,13533.82066291601159487,5184165.873513887899761
"RWA",2001,10.68536000877258352,6821.205254808381299
"SLB",2001,745.63212844315803755,594630.625998017063628
"SLE",2001,266.80736959211372142,136650.277415755746628
"SLV",2001,11.15520183661349800,6754.21714894012554
"SSD",2001,10.96986719427476804,6423.782994699784188
"SUR",2001,1144.89727470248821064,929306.677378015411152
"SXM",2001,0.07323942758246528,36.51084032452825
"TCA",2001,0.5720265906803386,111.532177709596
"TGO",2001,2.44437867068060943,764.61942800314042
"THA",2001,2035.38622469285295333,1217391.776716226657885
"TTO",2001,83.47129334891381168,69845.420118343757078
"TWN",2001,62.83498421080402671,38217.72625036839171
"TZA",2001,1579.14805585026743166,944793.866206696784902
"UGA",2001,3741.81969841820952210,1866285.112156223528785
"USA",2001,33.53702004034620185,13488.019383277314276
"VCT",2001,0.07495259433865017,38.506524787273676
"VEN",2001,10437.98148901120477494,6795350.219309888235923
"VGB",2001,0.876992507046441,365.87296663540974
"VIR",2001,0.43871009726454,215.31997672997282
"VNM",2001,12002.35246405738395798,6725628.623550853722479
"VUT",2001,17.42882615772244008,10705.19611597420830
"ZAF",2001,54.06534504158854405,26540.436013660637498
"ZMB",2001,91.93893608351069596,44871.36495948990586
"ZWE",2001,8.99398214801649407,4715.17975933037448
"AGO",2002,3499.63627299536667525,2042360.525287185625514
"ARG",2002,9316.61364012000677900,3439307.631887624733883
"AUS",2002,0.60741974119194880,297.713386874904920
"BDI",2002,3.91871376533284543,2298.55907249228651
"BEN",2002,0.22913985083577476,69.33651619762686
"BGD",2002,619.40670645362611866,359589.87626136194369
"BHS",2002,0.21357198816189237,38.497771091279087
"BLZ",2002,5573.86964100060462308,2842343.470058832301112
"BOL",2002,70601.35638328279403717,37435735.188685650752489
"BRA",2002,1621765.13492838427476897,970755429.271439121993919
"BRN",2002,474.50766387612577707,349791.465127589304037
"BTN",2002,119.90976744171442939,75244.468774400234006
"CAF",2002,7005.03947054714268881,4552268.874296986374978
"CHN",2002,1823.23890451561120733,1012502.510500529984164
"CIV",2002,24185.72165802198397704,10327189.198967117209368
"CMR",2002,10611.60059379507915750,6687743.926716299949596
"COD",2002,168992.51698050748293474,112994355.258367934286606
"COG",2002,9973.61496922038283085,6283178.508006571925691
"COL",2002,63301.81043695726487986,38871813.637747247403963
"CRI",2002,751.78168855979057083,430865.669423232760935
"CUB",2002,2957.85876791074523161,595674.970064382632679
"CYM",2002,0.79971454204752613,208.80090132092713
"DMA",2002,2.00395406994520405,1082.097001985065596
"DOM",2002,451.23647892730837403,186087.233234522908786
"ECU",2002,5692.96059073931412091,4107971.529558295155840
"ETH",2002,1569.22357377258587512,982453.038899849946591
"FJI",2002,19.39814813145399147,10565.29969890869713
"GAB",2002,7001.76982417397414615,4368158.104070039967954
"GHA",2002,4438.27418709824288065,2001742.386811340142664
"GIN",2002,1100.62610566680204479,490814.429987764147184
"GLP",2002,2.73602774757866793,1554.99499600242603
"GNB",2002,137.31916150636396811,36384.429513706447893
"GNQ",2002,1137.85942385557334498,716132.626843639770190
"GTM",2002,16082.24802033193026244,7997014.319133785172988
"GUF",2002,1628.44411660680100686,1294804.770986397275913
"GUY",2002,2824.67050435949322768,1947488.520942740643631
"HND",2002,7343.57958145663228095,4003886.725302862786809
"HTI",2002,17.43798238860460129,9750.720606215092903
"IDN",2002,271745.45197759649919576,267522209.4619831833015995
"IND",2002,11717.80559294746983667,6338025.795628776593826
"JAM",2002,280.45324809620559507,150991.704041482606755
"KEN",2002,2973.73250469192349816,1698109.992794930689168
"KHM",2002,18576.43012861297611299,10174299.921815514594597
"KNA",2002,3.01565209211914079,1520.80997554183505
"LAO",2002,13700.20875819630560298,7753511.7831106711774178
"LBR",2002,7330.37841642544772836,3629884.925631675543305
"LCA",2002,1.5696567769704861,894.90069786935797
"LKA",2002,524.16033899299359432,198850.195541277193431
"MAF",2002,2.9291831281445324,1086.562062038443
"MDG",2002,27044.85135033703829653,14556464.562105957249968
"MEX",2002,14328.51109298689650576,6227025.778726071453689
"MMR",2002,12938.64357354007489810,7432966.117343062978022
"MOZ",2002,143.56074946575957564,64282.624147834645784
"MSR",2002,0.7376942802625868,415.4082189410594
"MTQ",2002,2.75544387207139764,1581.60415377403382
"MWI",2002,2.3437524869259982,1055.69633567205804
"MYS",2002,61819.66651296579425688,49967205.719055858893241
"NGA",2002,6131.77328692166844796,2319773.653170900508210
"NIC",2002,5754.75677298882763881,3283655.5760646297673125
"NPL",2002,169.53432575406249466,106085.366473566737638
"PAN",2002,1888.88105030040142600,1142021.6828355344573524
"PER",2002,46059.43163834454052232,30347986.1674823529019500
"PHL",2002,3498.91743197298797020,2260667.402613199342389
"PLW",2002,26.70128954037027799,21918.341931211809955
"PNG",2002,23529.78773425077766204,19747050.270664275600248
"PRI",2002,39.40240780962240046,20822.888309955780873
"PRY",2002,50508.57057817953474746,18025562.059768944331100
"RWA",2002,4.53482884819837812,2705.24320722375978
"SEN",2002,0.22541461602593318,55.837761282768902
"SGP",2002,0.07691609050923666,34.6657120591675
"SLB",2002,2128.64420242941906278,1702421.040791448435509
"SLE",2002,250.36236488640627712,108734.489906815485468
"SLV",2002,52.86365358356986518,34353.720789797468231
"SSD",2002,54.32513209019353863,33616.80143761281484
"SUR",2002,1931.78854082989487674,1536331.300097932339622
"SXM",2002,0.14647448469184027,40.537798363965294
"TGO",2002,2.444499996822103,678.9340096005252
"THA",2002,3856.29008493020332572,2267086.345358132595793
"TTO",2002,73.19418375282171096,40658.778536798295028
"TWN",2002,120.65240410738280446,62059.298783172435244
"TZA",2002,843.40135033792786819,451831.544694870347915
"UGA",2002,667.81053529793998045,368274.12356495926938
"UMI",2002,4.312646207456597,0.0
"USA",2002,12.71152890239800375,5197.980224834510902
"VCT",2002,0.07495259433865017,45.11115032045387
"VEN",2002,11322.79990641845459727,6379002.249528991799232
"VGB",2002,0.9500606436154513,421.48300699456405
"VNM",2002,11029.97110072046891930,6155983.9300680692963563
"VUT",2002,18.71587643949110416,11100.80738661091392
"ZAF",2002,350.00246313548532028,171145.985489253514284
"ZMB",2002,62.40147400261554598,31852.940917335102874
"ZWE",2002,14.46358335918511509,7616.760469837497344
"AGO",2003,2963.52306202601703278,1717112.928351427995676
"ARG",2003,14448.23558300677636458,5354852.084903345274929
"AUS",2003,0.60726459230577261,325.42819553143105
"BDI",2003,51.55890953198690378,30133.250559815917446
"BES",2003,7.12073436079210492,0.0
"BGD",2003,266.91833755532940853,153176.70727469594349
"BHS",2003,0.21168965406250001,15.129107059346465
"BLZ",2003,2997.82442094786914461,1431939.277821427954674
"BOL",2003,77166.55542595491092246,41096623.658441244118877
"BRA",2003,1570575.59144273424960409,925593303.106307037111390
"BRN",2003,379.43454884667157020,272560.855473106864605
"BTN",2003,84.66540713421440697,50538.496468042313713
"CAF",2003,3025.74294312088162743,2086736.209320662800134
"CHN",2003,1590.32110832534572556,874921.623173748567954
"CIV",2003,16572.56237523709450728,6925765.224301740865871
"CMR",2003,9967.20681077520424311,6362966.433373236995810
"COD",2003,78138.09807912370747137,52947306.602818346460843
"COG",2003,9875.14234463697150803,5941713.756394035308557
"COL",2003,32049.99556214047165054,19526936.1408280269888485
"CRI",2003,591.06263445882713634,341480.996558343872225
"CUB",2003,201.58485332779293499,170920.8344095230522575
"DMA",2003,9.72457471528754447,5807.26800117996789
"DOM",2003,460.63568804336705923,198390.410195740533300
"ECU",2003,3378.98512882849352463,2418926.927774862461109
"ETH",2003,2542.49198463389035297,1602480.336040530780174
"FJI",2003,53.21087267159288172,29849.30532555021266
"GAB",2003,10674.32098277131506521,6685084.716303848434731
"GHA",2003,1875.10467343907553616,841049.100573529466876
"GIN",2003,287.43739984522359000,136730.174698069016394
"GLP",2003,3.84483877007270025,2090.35205957697937
"GNB",2003,14.26996006293782832,4138.190480232337775
"GNQ",2003,960.26353044210981725,610010.701788642521890
"GTM",2003,24304.71989073515045377,10920580.296658626467733
"GUF",2003,1267.39961934566536351,990478.265429438252074
"GUY",2003,4216.48343853770640176,2834665.060669160740781
"HND",2003,8855.60342249310096786,4831012.902375630157147
"HTI",2003,14.33538363853841130,6543.957220656579135
"IDN",2003,248435.59290556954968926,250372826.563661565579706
"IND",2003,10845.98158260001521616,5771623.272614152712138
"JAM",2003,152.36760226338322991,84770.119435105937610
"KEN",2003,1568.12530771648065421,968157.17303148327813
"KHM",2003,24054.02849239799291079,12884406.780495592759860
"KNA",2003,5.00276932273871429,2140.699421355285279
"LAO",2003,20470.79879418617973695,11666665.223506812819926
"LBR",2003,4820.83807672931839394,2400098.232685161610322
"LCA",2003,1.86830529101182713,1092.543865175624886
"LKA",2003,991.42360557821957447,363950.760140952581739
"MAF",2003,2.41663369414171051,1004.45938903614396
"MDG",2003,15332.51362203851029332,8322501.927005257772031
"MDV",2003,0.68886633312554261,33.09228795597424
"MEX",2003,17924.50715487920356747,7855195.270492838049449
"MMR",2003,13768.18041280557506769,8182242.718828404991076
"MOZ",2003,91.65641669239585478,40631.365223400886930
"MSR",2003,0.36880606970920143,212.01794576666997
"MTQ",2003,6.70269943120008705,3418.04998347276708
"MWI",2003,9.66250781551269743,5129.55434532433106
"MYS",2003,60415.79557518518863724,52315786.722281421108783
"NGA",2003,1830.25095880257528485,670538.245067952445755
"NIC",2003,5123.65370342392719966,2918418.232430883772933
"NPL",2003,284.62969253626527981,176514.691918226157604
"PAN",2003,1574.85954755153397458,945070.629698773275669
"PER",2003,43732.98104357450202969,28757133.049802046899223
"PHL",2003,4274.66199019576663468,2679623.819636294757232
"PLW",2003,3.35690815748155419,2606.896790526828406
"PNG",2003,15365.85033484096940856,13158659.412127985597369
"PRI",2003,83.34167228755533828,46000.88088074482747
"PRY",2003,74443.58741546405088269,24802016.508836748933045
"RWA",2003,28.97537139098890160,17410.32699349993294
"SEN",2003,0.22544722504069012,51.0489366743567785
"SLB",2003,1276.21785922356596105,1009721.849620743892294
"SLE",2003,176.19085482142197221,84773.041635012892394
"SLV",2003,9.58335945795844331,5463.242781054994563
"SSD",2003,48.34699545159858325,28566.79428299636470
"SUR",2003,2243.05149487732525321,1707442.171168167786148
"SXM",2003,0.14648413868489582,43.125445859167506
"TCA",2003,1.78853346906141495,322.86929484277005
"TGO",2003,1.52774851750976562,450.719290613784863
"THA",2003,4246.34985604942360374,2491443.599825177111832
"TTO",2003,50.11670488185004743,27671.776947184760910
"TWN",2003,65.20640405950304790,37882.11709423585101
"TZA",2003,726.59339496534260569,368399.939926961902558
"UGA",2003,1521.07150665512082477,894714.055700492720983
"USA",2003,8.93056397267795156,3485.291431290909334
"VCT",2003,0.5246463214973959,231.22253060721312
"VEN",2003,20775.27839954105011595,11992695.299900957948302
"VGB",2003,0.4385003561729601,183.9386662356876
"VIR",2003,0.80434847817491328,387.257894887948253
"VNM",2003,9522.16101117388001432,5293671.018908622883243
"VUT",2003,329.79501748273414087,187403.445054873645133
"ZAF",2003,326.88136395899300943,177743.215497024527971
"ZMB",2003,133.07355664063637940,63022.78611107348076
"ZWE",2003,8.62014817716145819,4784.15331312132183
"AGO",2004,2354.97632785249863853,1344314.252962046531605
"ARG",2004,28083.66111524177292686,10499347.402435465341430
"AUS",2004,0.45553511205512156,264.945812685200018
"BDI",2004,2.7658422863812936,1619.72969632082315
"BES",2004,0.07346776039062501,26.48473974476601
"BGD",2004,347.56188045675451793,182040.349287026797354
"BHS",2004,4.51156650117946947,994.900435583506323
"BLZ",2004,2102.79123128960067165,948434.4701323622581315
"BOL",2004,96610.91727166830932222,51079218.531391265383953
"BRA",2004,2016477.15875670887558865,1236505571.016706732773228
"BRN",2004,584.78237855187325397,410223.611150479286515
"BTN",2004,337.17192356522135210,211624.240860173003618
"CAF",2004,4096.37874875210204036,2692980.69143161102343
"CHN",2004,3421.80220966676759405,1891864.02493168970703
"CIV",2004,11228.83703381551447610,4784636.269847907490127
"CMR",2004,9049.34523566601596565,5614156.744179618548677
"COD",2004,123521.15989301236645060,82256292.113047264825009
"COG",2004,4995.59894056906790314,2976010.842047067019255
"COL",2004,81694.74883572627269290,49714093.652255220536229
"CRI",2004,602.67116701308057771,356980.058821860929754
"CUB",2004,651.64005252844270138,239630.4891776211869247
"CYM",2004,2.10855836277994822,571.559920795962214
"DMA",2004,22.1233075050124759,13088.9656818732676
"DOM",2004,1065.76078972556202214,473381.454995256905361
"ECU",2004,5436.24717555498788800,3726388.305309682262423
"ETH",2004,2729.93030395607773035,1564813.973990365644672
"FJI",2004,231.14562265322567810,132152.805768391989087
"GAB",2004,5698.65092538940121307,3584354.975104126055239
"GHA",2004,1582.79655230024694361,720423.912570436245614
"GIN",2004,552.59577399403113707,253021.034762828687008
"GLP",2004,8.58169741017252598,4790.437955052992268
"GNB",2004,75.94738958341143253,22879.681700418602306
"GNQ",2004,210.82551511441547586,128174.768659576109265
"GTM",2004,17270.27776683079335286,8304401.366102493744702
"GUF",2004,3268.53743244851671060,2557836.766465182419041
"GUY",2004,2630.27736302563693240,1812506.176316067914767
"HND",2004,7114.62616364493370387,3872314.012834999790863
"HTI",2004,52.92761232347118632,28229.8531069081106981
"IDN",2004,479153.27683458016195407,499594429.674020851054441
"IND",2004,19166.08647637298020639,10422062.835577545645556
"JAM",2004,979.76680863567845083,522306.524983534049152
"KEN",2004,2973.69219999076875752,1698350.169928938908793
"KHM",2004,44062.85744514966533107,24488215.063091795991433
"KNA",2004,4.19277861505642423,2214.359545091148355
"LAO",2004,17946.90051033895420805,10213281.174352672589049
"LBR",2004,1782.41996293179221390,884585.319541975927665
"LCA",2004,6.95181299321180747,3716.95933850905688
"LKA",2004,466.73718752559147105,180405.632437793586501
"MAF",2004,0.87876646094509555,399.94406041375438
"MDG",2004,20283.01778544939803416,11050717.459776398485273
"MDV",2004,0.68833650734429258,107.07975812254034
"MEX",2004,18119.27919531098975232,8146119.3329772287167494
"MMR",2004,23286.00527314927850126,13584776.094923781953479
"MOZ",2004,184.78721596536626008,78895.896516278446379
"MSR",2004,3.4663019441992187,1949.94439482115128
"MTQ",2004,13.40168519382215749,7390.33103580912099
"MWI",2004,6.20259859858507123,2983.55409303740723
"MYS",2004,113421.74637249844658126,98231922.957304547205988
"NGA",2004,3055.25118745551913169,1105828.888404653248866
"NIC",2004,3182.50392480362204119,1817611.378580593680023
"NPL",2004,174.51839004270402080,98865.642484497461605
"PAN",2004,2478.12498515935494132,1509241.648607163809800
"PER",2004,62035.26670918315372977,40732044.565156212770494
"PHL",2004,7078.36582833973313593,4539921.239260335621882
"PLW",2004,7.01906228942735566,5925.717437125775055
"PNG",2004,25102.87714829860331579,21153693.673586825806113
"PRI",2004,58.93001494174696602,32568.80491999299295
"PRY",2004,65084.53105674655842746,24754232.888970209085288
"RWA",2004,6.99410998955179902,4494.15058915764415
"SEN",2004,0.07511126604112413,35.197334144650298
"SLB",2004,2200.65792477184425584,1772139.685456258852702
"SLE",2004,234.56253496750656130,105287.852263421184100
"SLV",2004,77.72682384445747006,49592.496606661514226
"SSD",2004,80.87638343438664350,48077.72696374704519
"SUR",2004,2814.20873408792867471,2196350.705022661321134
"SXM",2004,0.2929473428710938,97.38041443189772
"TCA",2004,2.2879522955512153,424.22531053210616
"TGO",2004,0.07638703037814672,20.36400416188947
"THA",2004,8034.23267828991527778,4691231.082209698661310
"TTO",2004,152.30712593606491634,82501.267536615685884
"TWN",2004,387.56926088565644990,233921.67688213294764
"TZA",2004,724.48183562753035008,343166.012161030568338
"UGA",2004,1587.09893249973115109,935973.28265855055575
"USA",2004,31.69462981866321214,12482.506055566241255
"VCT",2004,2.0986255230550133,1171.7628573736531
"VEN",2004,15923.98275154673964357,8942311.172347396026871
"VGB",2004,0.9500518112196182,394.45521522425827
"VIR",2004,6.58119021829970205,2715.07862050280612
"VNM",2004,21113.33595742881126737,12090029.822530353669706
"VUT",2004,110.19350775493923869,64361.88802288507751
"ZAF",2004,430.21307533398883133,223117.683976189163565
"ZMB",2004,431.90642735045275962,204406.857309161566685
"ZWE",2004,20.61857423467448481,11566.312603971450564
"AGO",2005,3110.38522961697009539,1769582.624980373044495
"ARG",2005,31423.82096787350979484,11768158.494655299755842
"AUS",2005,0.60746448859971789,263.125568722504287
"BDI",2005,15.4414116290899014,8657.1065871069486
"BEN",2005,0.22906319317626955,73.349150211969592
"BGD",2005,306.00679136436511410,170466.815152163255131
"BHS",2005,2.83232223570421018,297.234308587482132
"BLZ",2005,3208.31447683905598984,1536728.178319952642283
"BOL",2005,137830.80030634311367424,74194717.193053187391623
"BRA",2005,1824425.46707177777428003,1166672024.241940816350623
"BRN",2005,602.98764716093964935,418531.918416266646919
"BTN",2005,315.95689397594180802,204092.280717142327739
"CAF",2005,5466.01443146988733005,3535019.598971817913809
"CHN",2005,3075.79346414711136047,1740164.876852777273660
"CIV",2005,6007.01465691414663613,2391977.233162174013881
"CMR",2005,11078.70254526285271913,6941938.178125513002661
"COD",2005,149894.20684274753671848,100229808.244801668034290
"COG",2005,8608.22605276291633169,5261247.805505335656580
"COL",2005,58906.21358729828511873,36280942.537426271533855
"CRI",2005,868.43470178450108006,494979.935903825993997
"CUB",2005,1023.73535993041450947,375782.2513140089234323
"CYM",2005,2.47158031576931455,1235.280537491914383
"DMA",2005,13.28584508893500548,7888.95745030237897
"DOM",2005,4977.01761852256798912,1917863.593079239251664
"ECU",2005,6205.42335129544892859,4510395.976203869123700
"ETH",2005,2302.29218866907917509,1256368.933802209651191
"FJI",2005,153.43655265883761839,85715.385248684250920
"GAB",2005,10815.80176693033392606,6788069.389631512218749
"GHA",2005,3405.59775992663094885,1546059.935244644003616
"GIN",2005,270.57807526315292433,119999.259563048677697
"GLP",2005,6.80624069312120135,3724.91319764371647
"GNB",2005,76.26342669536996272,19092.399040139602713
"GNQ",2005,900.48385636522849021,558062.36033327807995
"GTM",2005,33387.58261004793485361,15551786.077740051724105
"GUF",2005,2028.10358142908860366,1580860.420070646021925
"GUY",2005,3578.78143089188326146,2484097.622594274724064
"HND",2005,14157.54386369212982771,7881699.364590851033925
"HTI",2005,36.60767439726456137,17461.89066277626792
"IDN",2005,478405.81261249865147578,504972385.069074936844641
"IND",2005,15147.70267644974090700,8222186.059064519153393
"JAM",2005,3164.15957272310794820,1748170.939054849964612
"KEN",2005,1703.29024011286553825,985646.611981420597828
"KHM",2005,35968.71377469614277403,20384459.7917430810807295
"KNA",2005,4.5613920746712240,2376.2109473378845
"LAO",2005,21601.35743266084191208,12413891.518354850573976
"LBR",2005,2168.34263400478673143,1042303.108663421092957
"LCA",2005,5.53132415788248766,3338.27875313657333
"LKA",2005,546.64128911216362048,214315.131346079384528
"MAF",2005,1.0984770277376306,408.1393480462447
"MDG",2005,22517.44351831580784025,12096518.399688428006685
"MDV",2005,0.30594948389729820,0.0
"MEX",2005,23057.64644904139463054,10352846.8955253890506555
"MMR",2005,23420.62314724467782926,14025453.3141867932601516
"MOZ",2005,278.99545067974420395,132697.6511215071755155
"MSR",2005,9.5158042307519561,5868.8200632784123
"MTQ",2005,7.3711137326774093,4216.32294633067054
"MWI",2005,5.79141377649793820,2945.63157903774380
"MYS",2005,114495.83696582509132303,100202129.602247049489038
"NGA",2005,1922.27534910070224804,762957.221343928465404
"NIC",2005,11309.70908906981108296,6545494.182533276082892
"NPL",2005,234.56905637469073983,146031.121590024218165
"PAN",2005,2336.46963540570839092,1439031.280699721966025
"PER",2005,97398.75877497523856463,64006267.198580703849345
"PHL",2005,6332.62346172321066564,3986086.790426283994454
"PLW",2005,15.64008217338568708,12958.978461471460876
"PNG",2005,16365.19274141338583068,13515186.743343833465470
"PRI",2005,54.17298763534722178,29399.969791317040628
"PRY",2005,57704.73117824567153889,21153673.728178001066673
"RWA",2005,14.29623145022393459,9456.888358620966036
"SEN",2005,0.07511642530707466,43.206097581435846
"SLB",2005,3842.55981728837145794,3067887.548036647415254
"SLE",2005,166.69141944233753762,80240.860621472610080
"SLV",2005,31.28639773261881549,18434.062689510413064
"SSD",2005,46.2644874665444553,26536.75974347713713
"SUR",2005,1808.21629178068377435,1378104.441792816696939
"SXM",2005,0.4394192860221354,168.30159740292038
