iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
AFG,2001,88.09271247269965
AGO,2001,101220.62152450017
AIA,2001,3.8784607080967897
ALA,2001,396.9348256717466
ALB,2001,3729.0210314848655
AND,2001,1.6542129477061633
ARG,2001,147805.95035562705
ARM,2001,131.8406122644748
ATG,2001,24.074189438326812
AUS,2001,218816.30207108968
AUT,2001,6926.269007849011
AZE,2001,553.299356121382
BDI,2001,1417.2469570863377
BEL,2001,971.4881952762848
BEN,2001,3749.3311051827
BES,2001,3.031857252900933
BFA,2001,59.477105112393126
BGD,2001,4586.997202714711
BGR,2001,8202.31911165973
BHS,2001,432.999419703507
BIH,2001,1496.1071045497747
BLR,2001,18358.9642788859
BLZ,2001,8211.629492546605
BMU,2001,0.1958197936338976
BOL,2001,140321.26053098016
BRA,2001,2746361.556706103
BRB,2001,12.367461564168838
BRN,2001,1244.4538228678116
BTN,2001,297.6596314943967
BWA,2001,130.9838814772363
CAF,2001,31282.436853071515
CAN,2001,1358154.79949204
CHE,2001,1165.2132473259592
CHL,2001,72711.30280694716
CHN,2001,230289.11527880945
CIV,2001,122711.45023837926
CMR,2001,39203.71718120803
COD,2001,455516.73897045694
COG,2001,27030.696217873305
COL,2001,230054.8356723729
COM,2001,36.97369320812447
CPV,2001,7.136450794329427
CRI,2001,15461.879449467671
CUB,2001,18942.908778025445
CUW,2001,0.9027885255121528
CYM,2001,20.681612199931628
CYP,2001,78.6289020744206
CZE,2001,3460.1425855055286
DEU,2001,15286.38056788826
DMA,2001,22.79275551081272
DNK,2001,4329.295853187872
DOM,2001,11246.810065543137
DZA,2001,3468.760252169604
ECU,2001,45002.46870978925
EGY,2001,147.76494268109263
ERI,2001,2.5295243326025387
ESP,2001,32811.05351920933
EST,2001,16872.43450527268
ETH,2001,11947.247243561167
FIN,2001,151003.2605000302
FJI,2001,1097.7640543965324
FRA,2001,34420.96339433618
GAB,2001,15082.63772959298
GBR,2001,23244.127250639827
GEO,2001,666.5563666121702
GGY,2001,0.9576780356467016
GHA,2001,43644.056172988414
GIB,2001,0.1872856369683159
GIN,2001,18571.525855882937
GLP,2001,320.70238556614373
GMB,2001,3.2974218630495886
GNB,2001,2362.1530283453185
GNQ,2001,3585.4191014241005
GRC,2001,12616.822022141134
GRD,2001,32.81085886816514
GTM,2001,53310.17515246642
GUF,2001,3033.287748553985
GUY,2001,10039.867706897849
HKG,2001,7.981291213905164
HND,2001,42380.174456739835
HRV,2001,3378.489603634509
HTI,2001,2469.048298344694
HUN,2001,7522.059331819898
IDN,2001,744087.9891098477
IMN,2001,15.975437616757812
IND,2001,62361.17449539604
IRL,2001,9559.47414086552
IRN,2001,332.48370537378383
IRQ,2001,16.026636417016064
ISR,2001,145.9652380544943
ITA,2001,9871.496931661053
JAM,2001,1246.2415233271597
JEY,2001,3.6963388705577263
JOR,2001,0.5220280310904948
JPN,2001,23977.461618864647
KAZ,2001,4534.702741323653
KEN,2001,19027.21104888777
KGZ,2001,589.2263559964715
KHM,2001,28491.443870946237
KNA,2001,45.60965867606336
KOR,2001,5503.445334868891
